Level,Name,Rating,Tags,Url
Entity 1,The Humans,40.0,"['_licensebox', 'annual-feature', 'entity', 'featured', 'rewritten', 'sapient']",http://backrooms-wiki.wikidot.com/Entity 1
Entity 2,The Windows,88.0,"['_cc', '_licensebox', 'entity', 'horror', 'hostile', 'object-like']",http://backrooms-wiki.wikidot.com/Entity 2
Entity 3,Smiler,222.0,"['_cc', '_licensebox', 'entity', 'horror', 'hostile', 'rewritten']",http://backrooms-wiki.wikidot.com/Entity 3
Entity 4,Deathmoths,88.0,"['_cc', '_licensebox', 'animalistic', 'entity', 'horror', 'wonder']",http://backrooms-wiki.wikidot.com/Entity 4
Entity 5,Clump,126.0,"['_cc', '_licensebox', 'entity', 'format-screw', 'masked-maidens', 'overseer-andrew', 'the-lost']",http://backrooms-wiki.wikidot.com/Entity 5
Entity 6,Dullers,36.0,"['_licensebox', 'entity', 'horror', 'hostile', 'humanoid', 'rewritten', 'wonder']",http://backrooms-wiki.wikidot.com/Entity 6
Entity 7,Jerry,160.0,"['_cc', '_licensebox', 'action', 'animalistic', 'entity', 'foj', 'mystery', 'rewritten', 'thriller', 'wonder']",http://backrooms-wiki.wikidot.com/Entity 7
Entity 8,Hound,186.0,"['_licensebox', '_non-cc', 'animalistic', 'entity', 'horror', 'hostile', 'humanoid', 'mystery', 'rewritten', 'thriller']",http://backrooms-wiki.wikidot.com/Entity 8
Entity 9,Facelings,36.0,"['_cc', '_licensebox', 'entity', 'humanoid', 'multiverse-canon', 'rewritten', 'sapient']",http://backrooms-wiki.wikidot.com/Entity 9
Entity 10,Skin-Stealer,164.0,"['_cc', '_licensebox', 'entity', 'horror', 'hostile', 'humanoid', 'rewritten']",http://backrooms-wiki.wikidot.com/Entity 10
Entity 11,Bursters,20.0,"['_licensebox', 'entity', 'horror', 'neutral']",http://backrooms-wiki.wikidot.com/Entity 11
Entity 12,Dunks,59.0,"['_cc', '_licensebox', 'animalistic', 'entity', 'friendly']",http://backrooms-wiki.wikidot.com/Entity 12
Entity 13,Transporters,45.0,"['_cc', '_licensebox', 'entity', 'friendly', 'humanoid', 'sapient']",http://backrooms-wiki.wikidot.com/Entity 13
Entity 14,Reviooks,27.0,"['_cc', '_licensebox', 'entity', 'horror', 'rewritten']",http://backrooms-wiki.wikidot.com/Entity 14
Entity 15,Wretches,97.0,"['_cc', '_licensebox', 'co-authored', 'entity', 'horror', 'hostile', 'humanoid', 'mystery', 'thriller', 'traders-keep']",http://backrooms-wiki.wikidot.com/Entity 15
Entity 16,Nguithr'xurhs,45.0,"['_cc', '_licensebox', 'entity', 'horror', 'mystery', 'rewritten']",http://backrooms-wiki.wikidot.com/Entity 16
Entity 17,Crawlers,67.0,"['_cc', '_licensebox', 'entity', 'horror', 'pathogenic', 'rewritten']",http://backrooms-wiki.wikidot.com/Entity 17
Entity 18,The Beast Gentleman of Level 5,168.0,"['_cc', '_licensebox', 'entity', 'entity-18', 'featured', 'horror', 'mystery', 'sapient', 'terror-hotel-canon']",http://backrooms-wiki.wikidot.com/Entity 18
Entity 19,The Disease,35.0,"['_cc', '_licensebox', '_metatag', 'entity', 'featured', 'm.e.g.', 'neutral', 'pathogenic', 'rewritten']",http://backrooms-wiki.wikidot.com/Entity 19
Entity 20,Scits,29.0,"['_cc', '_licensebox', 'animalistic', 'entity']",http://backrooms-wiki.wikidot.com/Entity 20
Entity 21,Hook Head,34.0,"['comedy', 'entity', 'spookycon2021']",http://backrooms-wiki.wikidot.com/Entity 21
Entity 22,Warning Kites,62.0,"['_cc', '_licensebox', 'entity', 'object-like', 'wholesome', 'wonder']",http://backrooms-wiki.wikidot.com/Entity 22
