Level,Name,Rating,Tags,Url
Level 0,Tutorial Level,+973,"['_cc', '_licensebox', '_metatag', 'interior', 'level', 'level-0', 'mystery', 'nostalgia', 'rewritten', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 0
Level 0.1,Zenith Station,+96,"['_cc', '_licensebox', '_metatag', '_wp-titles', 'featured', 'level', 'level-0', 'mystery', 'sd-class-0', 'sub-level', 'tragedy', 'wonder']",http://backrooms-wiki.wikidot.com/Level 0.1
Level 0.2,Remodeled Mess,+94,"['_metatag', '_non-cc', 'backrooms-remodeling-co', 'horror', 'level', 'level-0', 'mystery', 'nostalgia', 'sd-class-3', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 0.2
Level 0.3,The Icy Rooms,+64,"['_cc', '_licensebox', '_metatag', 'backrooms-remodeling-co', 'level', 'level-0', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 0.3
Manila Room,,+70,"['_cc', '_licensebox', '_metatag', 'level-0', 'm.e.g.', 'room', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Manila Room
Red Rooms,,+75,"['_metatag', 'annual-feature', 'featured', 'level-0', 'm.e.g.', 'room', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Red Rooms
The Torment,,+44,"['_cc', '_licensebox', '_metatag', 'horror', 'level-0', 'mystery', 'room', 'sd-class-?']",http://backrooms-wiki.wikidot.com/The Torment
Level 1,Habitable Zone,+339,"['_cc', '_licensebox', '_metatag', 'b.n.t.g.', 'in-rewrite', 'industrial', 'level', 'mystery', 'nostalgia', 'rewritten', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 1
Level 1.1,Corrupted Corridor,+85,"['_cc', '_metatag', 'action', 'level', 'sd-class-0', 'sd-class-2', 'sd-class-4', 'sd-class-other', 'sub-level', 'thriller']",http://backrooms-wiki.wikidot.com/Level 1.1
Level 1.3,Malignance,+84,"['_licensebox', 'canonicon2024', 'contest-winner', 'decay-canon', 'featured', 'level', 'mystery', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 1.3
Level √2,,+33,"['_cc', '_licensebox', '_metatag', '_wp-titles', 'annual-feature', 'featured', 'industrial', 'level', 'rewritten', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level √2
Level 1.5,Inverted,+78,"['_cc', '_metatag', 'level', 'mystery', 'sd-class-?', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 1.5
Traders Vault,,+37,"['_cc', '_licensebox', '_metatag', 'nostalgia', 'room', 'sd-class-1', 'traders-keep']",http://backrooms-wiki.wikidot.com/Traders Vault
Level 2,Abandoned Utility Halls,+33,"['_cc', '_licensebox', '_metatag', '_wp-titles', 'annual-feature', 'featured', 'industrial', 'level', 'rewritten', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 2
Level 2.2,Constant Buzz,+24,"['_metatag', '_non-cc', 'horror', 'level', 'nostalgia', 'sd-class-4', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 2.2
Office Space EL3A,,+42,"['_cc', 'b.n.t.g.', 'room', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Office Space EL3A
Level 3,Electrical Station,+206,"['_cc', '_licensebox', '_metatag', 'horror', 'icarus-procidens', 'industrial', 'level', 'nostalgia', 'rewritten', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 3
Level 3.1,Space Complex,+38,"['_cc', 'level', 'sd-class-4', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 3.1
Level 4,Abandoned Office,+186,"['_cc', '_licensebox', '_metatag', 'commercial', 'in-rewrite', 'interior', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 4
Level 4.2,Parking Lot Of Fog,+16,"['_cc', 'level', 'mystery', 'nostalgia', 'sd-class-0', 'sub-level', 'wonder']",http://backrooms-wiki.wikidot.com/Level 4.2
Level 4.3,Decayed,+12,"['_cc', 'level', 'nostalgia', 'sd-class-1', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 4.3
Level 4.4,Crazed State,+41,"['_cc', '_licensebox', 'horror', 'level', 'mystery', 'sd-class-5', 'sdcon2020', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 4.4
