Level,Name,Rating,Tags,Url
Object 1,Almond Water,86.0,"['_cc', '_licensebox', 'co-authored', 'm.e.g.', 'mystery', 'object', 'overseer-andrew', 'overseer-kat', 'overseer-stretch', 'rewritten', 'wonder']",http://backrooms-wiki.wikidot.com/Object 1
Object 2,Level Key,79.0,"['_cc', '_image', 'mystery', 'object', 'rewritten', 'wonder']",http://backrooms-wiki.wikidot.com/Object 2
Object 3,Smiler Repellent,53.0,"['_cc', 'action', 'format-screw', 'mystery', 'object', 'the-lost']",http://backrooms-wiki.wikidot.com/Object 3
Object 4,Deuclidators,26.0,"['_licensebox', 'action', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 4
Object 5,Candy,46.0,"['_cc', '_licensebox', 'b.n.t.g.', 'eyes-of-argos', 'object', 'spookycon2021', 'traders-keep']",http://backrooms-wiki.wikidot.com/Object 5
Object 6,The Mirror,36.0,"['_image', 'm.e.g.', 'mystery', 'object', 'overseer-stretch', 'thriller']",http://backrooms-wiki.wikidot.com/Object 6
Object 7,Memory Jar,41.0,"['_image', 'nostalgia', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 7
Object 8,Lamps,36.0,"['_licensebox', 'backrooms-robotics', 'co-authored', 'horror', 'industrialization-canon', 'mystery', 'object', 'rewritten']",http://backrooms-wiki.wikidot.com/Object 8
Object 9,Dumb Gum,64.0,"['comedy', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 9
Object 10,Scarecrows,31.0,"['_licensebox', 'object', 'spookycon2021']",http://backrooms-wiki.wikidot.com/Object 10
Object 11,Ghost Lights,32.0,"['_licensebox', 'featured', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 11
Object 12,Mortality Shards,25.0,"['format-screw', 'object']",http://backrooms-wiki.wikidot.com/Object 12
Object 13,Office Terminals,32.0,"['_image', 'horror', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 13
Object 14,Scarabacks,26.0,"['_image', 'mystery', 'object', 'the-lost', 'wonder']",http://backrooms-wiki.wikidot.com/Object 14
Object 15,Firesalt,85.0,"['_image', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 15
Object 16,Royal Rations,77.0,"['_image', 'featured', 'mystery', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 16
Object 17,Liquid Silence,55.0,"['_image', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 17
Object 18,The Phonograph,25.0,"['object', 'terror-hotel-canon']",http://backrooms-wiki.wikidot.com/Object 18
Object 19,Squirt Gun,47.0,"['_image', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 19
Object 20,Rixa Gas,23.0,"['_licensebox', 'object', 'u.e.c.']",http://backrooms-wiki.wikidot.com/Object 20
Object 21,Wi-Fi,51.0,"['_image', 'mystery', 'object', 'rewritten', 'wonder']",http://backrooms-wiki.wikidot.com/Object 21
Object 22,Wayback Machine,21.0,"['_cc', '_licensebox', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 22
Object 23,The Consequential Cube,38.0,"['_cc', 'object', 'thriller', 'wonder']",http://backrooms-wiki.wikidot.com/Object 23
Object 24,Wall Masks,62.0,"['_image', 'horror', 'masked-maidens', 'object', 'thriller', 'tragedy', 'unmasked-canon']",http://backrooms-wiki.wikidot.com/Object 24
Object 25,Babel Balm,28.0,"['_image', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 25
Object 26,Maiden's Ink,30.0,"['contest-winner', 'evangeline-holmes', 'format-screw', 'goicon2021', 'masked-maidens', 'object', 'unmasked-canon', 'wonder']",http://backrooms-wiki.wikidot.com/Object 26
Object 27,Umi's Sweets,19.0,"['object', 'spookycon2021']",http://backrooms-wiki.wikidot.com/Object 27
Object 28,“Lucky O’ Milk”,56.0,['object'],http://backrooms-wiki.wikidot.com/Object 28
Object 29,3D Vision Glasses,19.0,"['object', 'objectcon2022']",http://backrooms-wiki.wikidot.com/Object 29
Object 30,Greasy Marshmallows,42.0,"['_cc', 'nostalgia', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 30
Object 31,Ouija Board,23.0,"['_cc', 'horror', 'object', 'spookycon2021']",http://backrooms-wiki.wikidot.com/Object 31
Object 32,Reality Fresheners,51.0,"['action', 'backrooms-remodeling-co', 'horror', 'object']",http://backrooms-wiki.wikidot.com/Object 32
Object 33,“RoboPets”,19.0,"['_metatag', 'backrooms-robotics', 'canonicon2024', 'industrialization-canon', 'object']",http://backrooms-wiki.wikidot.com/Object 33
Object 34,Cassette Recorder,10.0,"['_licensebox', 'object']",http://backrooms-wiki.wikidot.com/Object 34
Object 35,Dark Reparation Vials,43.0,"['_cc', '_licensebox', 'object', 'the-eternal-repository']",http://backrooms-wiki.wikidot.com/Object 35
Object 36,Spirit Links,14.0,"['_licensebox', 'mystery', 'object', 'wholesome']",http://backrooms-wiki.wikidot.com/Object 36
Object 37,Star Candy,13.0,"['_licensebox', 'classicon2023', 'object']",http://backrooms-wiki.wikidot.com/Object 37
Object 38,Red Light White Light,30.0,"['_licensebox', 'backrooms-robotics', 'object']",http://backrooms-wiki.wikidot.com/Object 38
Object 40,The Backrooms TCG!,117.0,['object'],http://backrooms-wiki.wikidot.com/Object 40
Object 42,Lightning In a Bottle,52.0,"['_licensebox', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 42
Object 43,Tarot Decks,33.0,"['co-authored', 'object']",http://backrooms-wiki.wikidot.com/Object 43
Object 44,Cashew Water,18.0,"['in-rewrite', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 44
Object 47,BackROM,36.0,"['co-authored', 'collaborative', 'comedy', 'nostalgia', 'object']",http://backrooms-wiki.wikidot.com/Object 47
Object 49,Compression Cubes,11.0,"['_metatag', 'canonicon2024', 'industrialization-canon', 'object']",http://backrooms-wiki.wikidot.com/Object 49
Object 51,Pockets,43.0,"['_cc', '_licensebox', 'level-9', 'object']",http://backrooms-wiki.wikidot.com/Object 51
Object 56,“Ultimate Backrooms Cookbook”,51.0,"['gift2021', 'icarus-procidens', 'mystery', 'object', 'wholesome', 'wonder']",http://backrooms-wiki.wikidot.com/Object 56
Object 57,The Crimson Map,37.0,['object'],http://backrooms-wiki.wikidot.com/Object 57
Object 59,Prayer Glass,27.0,"['_licensebox', 'horror', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 59
Object 60,The Throne,21.0,"['_licensebox', 'classicon2023', 'object']",http://backrooms-wiki.wikidot.com/Object 60
Object 61,Vagrants in Saltwater,21.0,"['_cc', '_licensebox', 'object']",http://backrooms-wiki.wikidot.com/Object 61
Object 65,Madison Street Mannequin,17.0,"['_cc', 'horror', 'level-11', 'object', 'romance']",http://backrooms-wiki.wikidot.com/Object 65
Object 66,Leviathan's Tooth,17.0,"['_cc', '_licensebox', 'object']",http://backrooms-wiki.wikidot.com/Object 66
Object 67,ChocoBytes!,14.0,['object'],http://backrooms-wiki.wikidot.com/Object 67
Object 69,Xenon Marbles,29.0,"['_cc', '_licensebox', 'mystery', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 69
Object 70,Corpses,15.0,"['_licensebox', 'object']",http://backrooms-wiki.wikidot.com/Object 70
Object 74,Warpberries!,64.0,"['contest-winner', 'featured', 'object', 'objectcon2022', 'tragedy']",http://backrooms-wiki.wikidot.com/Object 74
Object 75,Chekhov's Gun,24.0,['object'],http://backrooms-wiki.wikidot.com/Object 75
Object 77,Involuntarily Portable Radio,82.0,"['_cc', 'comedy', 'featured', 'object', 'quinoa']",http://backrooms-wiki.wikidot.com/Object 77
level-80,Retributors,32.0,"['_cc', '_licensebox', 'b.n.t.g.', 'co-authored', 'level', 'mystery', 'roadway', 'sd-class-0', 'the-lost', 'wonder']",http://backrooms-wiki.wikidot.com/level-80
Object 83,Mobile Vacuum Cleaner,14.0,"['backrooms-robotics', 'horror', 'industrialization-canon', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 83
Object 84,LiberTV,28.0,"['comedy', 'mystery', 'object']",http://backrooms-wiki.wikidot.com/Object 84
Object 85,Agrugua Fruit,43.0,"['b.n.t.g.', 'object', 'objectcon2022']",http://backrooms-wiki.wikidot.com/Object 85
level-86,REALITY LAG MACHINE,18.0,"['_cc', 'commercial', 'level', 'nostalgia', 'rewritten', 'sd-class-0']",http://backrooms-wiki.wikidot.com/level-86
Object 87,Worn Sack,23.0,"['_cc', '_licensebox', 'mystery', 'object', 'wonder']",http://backrooms-wiki.wikidot.com/Object 87
Object 88,The Apocrypha Failure Flute,40.0,"['bittersweet', 'format-screw', 'mystery', 'nostalgia', 'object', 'wholesome']",http://backrooms-wiki.wikidot.com/Object 88
Object 89,Kat,22.0,"['_licensebox', 'bittersweet', 'mystery', 'object', 'overseer-andrew', 'overseer-kat', 'overseer-stretch']",http://backrooms-wiki.wikidot.com/Object 89
Object 90,Light Wires,13.0,"['_licensebox', 'horror', 'object']",http://backrooms-wiki.wikidot.com/Object 90
Object 91,The Recordless Player,16.0,"['_cc', '_licensebox', 'desolation-canon', 'horror', 'object']",http://backrooms-wiki.wikidot.com/Object 91
Object 92,ClipSkips!,52.0,"['action', 'comedy', 'featured', 'object']",http://backrooms-wiki.wikidot.com/Object 92
Object 95,Temporal Apotheosis,63.0,"['annual-feature', 'contest-winner', 'featured', 'object', 'objectcon2022']",http://backrooms-wiki.wikidot.com/Object 95
Object 96,Blanche's Gifts,45.0,"['_licensebox', 'blanche', 'object']",http://backrooms-wiki.wikidot.com/Object 96
